count,date
592,2022-06-21
660,2022-06-22
573,2022-06-23
597,2022-06-24
252,2022-06-25
249,2022-06-26
654,2022-06-27
748,2022-06-28
661,2022-06-29
745,2022-06-30
572,2022-07-01
242,2022-07-02
286,2022-07-03
444,2022-07-04
493,2022-07-05
660,2022-07-06
767,2022-07-07
521,2022-07-08
300,2022-07-09
299,2022-07-10
611,2022-07-11
565,2022-07-12
720,2022-07-13
611,2022-07-14
525,2022-07-15
274,2022-07-16
269,2022-07-17
467,2022-07-18
669,2022-07-19
676,2022-07-20
609,2022-07-21
567,2022-07-22
298,2022-07-23
249,2022-07-24
606,2022-07-25
673,2022-07-26
589,2022-07-27
544,2022-07-28
526,2022-07-29
254,2022-07-30
350,2022-07-31
579,2022-08-01
501,2022-08-02
493,2022-08-03
661,2022-08-04
596,2022-08-05
357,2022-08-06
209,2022-08-07
531,2022-08-08
499,2022-08-09
632,2022-08-10
571,2022-08-11
520,2022-08-12
245,2022-08-13
278,2022-08-14
491,2022-08-15
463,2022-08-16
547,2022-08-17
573,2022-08-18
476,2022-08-19
298,2022-08-20
205,2022-08-21
528,2022-08-22
486,2022-08-23
553,2022-08-24
515,2022-08-25
494,2022-08-26
219,2022-08-27
230,2022-08-28
447,2022-08-29
482,2022-08-30
537,2022-08-31
531,2022-09-01
438,2022-09-02
266,2022-09-03
177,2022-09-04
359,2022-09-05
468,2022-09-06
530,2022-09-07
482,2022-09-08
382,2022-09-09
227,2022-09-10
259,2022-09-11
478,2022-09-12
482,2022-09-13
548,2022-09-14
500,2022-09-15
488,2022-09-16
214,2022-09-17
202,2022-09-18
103,2022-09-19
